"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"2019-10-13T12:35:56.060Z","18.9961","-67.1141",47,"2.78","md",14,214,"0.7123","0.56","pr","pr2019286014","2019-10-13T17:35:47.930Z","55km N of Isabela, Puerto Rico","earthquake","3.25","9.09","0.3",13,"reviewed","pr","pr"
"2019-10-13T12:21:07.964Z","-44.8783","35.0514",10,"5.1","mb",,59,11869,"0.92","us","us70005tvg","2019-10-13T12:43:37.040Z","Prince Edward Islands region","earthquake",10,"1.9",86,44,"reviewed","us","us"
"2019-10-13T12:11:57.569Z","52.2924","-169.9256",35,"4.1","mb",,191,532,"1.28","us","us70005tvd","2019-10-13T22:31:50.922Z","64km SE of Yunaska Island, Alaska","earthquake","7.9",2,51,105,"reviewed","us","us"
"2019-10-13T10:10:28.256Z","68.9976","-146.4508",0,"2.8","ml",,,,"1.01","ak","ak019d55pslj","2019-10-13T11:34:37.040Z","100km NNW of Arctic Village, Alaska","earthquake",,"1.2",,,"automatic","ak","ak"
"2019-10-13T09:58:42.447Z","44.5548",148754,"81.93",5,"mb",,102,4441,"0.5","us","us70005tux","2019-10-13T10:17:28.040Z","102km SE of Kuril'sk, Russia","earthquake","3.3","7.6",83,46,"reviewed","us","us"
"2019-10-13T09:26:31.683Z","31.0716","-103.3086","2.05","2.7","ml",,50,152,"0.33","us","us70005tuu","2019-10-13T09:37:25.040Z","42km SSE of Pecos, Texas","earthquake","1.7","6.4",91,46,"reviewed","us","us"
"2019-10-13T08:24:41.092Z","59.0453","-151.8075","31.2","2.6","ml",,,,"0.59","ak","ak019d54lyfz","2019-10-13T08:54:38.040Z","68km SSW of Homer, Alaska","earthquake",,"0.7",,,"automatic","ak","ak"
"2019-10-13T07:48:26.460Z","19.0048","-67.0738",113,"3.13","md",10,225,"0.7317","0.46","pr","pr2019286010","2019-10-13T13:12:17.800Z","56km N of Isabela, Puerto Rico","earthquake","4.35","4.43","0.32",10,"reviewed","pr","pr"
"2019-10-13T07:24:40.960Z","69.6461","-144.2298",0,"2.7","ml",,,,"0.95","ak","ak019d540iuo","2019-10-13T07:54:24.040Z","58km SSW of Kaktovik, Alaska","earthquake",,1,,,"automatic","ak","ak"
"2019-10-13T07:16:40.840Z","19.0851","-67.1965",83,"3.26","md",9,226,"0.8609","0.48","pr","pr2019286009","2019-10-13T13:11:47.151Z","66km N of San Antonio, Puerto Rico","earthquake","3.97","6.56","0.12",9,"reviewed","pr","pr"
"2019-10-13T07:01:10.150Z","19.2226","-67.23",27,"2.79","md",18,226,"0.8744","0.54","pr","pr2019286008","2019-10-13T08:01:04.040Z","71km N of San Antonio, Puerto Rico","earthquake","2.72","30.73","0.22",17,"reviewed","pr","pr"
"2019-10-13T06:36:30.810Z","19.0638","-67.2983",10,"2.9","md",3,335,"0.9131","0.25","pr","pr2019286007","2019-10-13T07:48:56.314Z","66km NNW of San Antonio, Puerto Rico","earthquake","12.84","18.21","0.31",3,"reviewed","pr","pr"
"2019-10-13T06:32:14.154Z","16.4284","146.3492","35.31","5.1","mb",,49,1298,"1.08","us","us70005tty","2019-10-14T06:42:18.507Z","73km E of Anatahan, Northern Mariana Islands","earthquake","10.8",6,33,300,"reviewed","us","us"
"2019-10-13T06:09:02.441Z","-56.3715",-26275,"15.22","5.5","mb",,33,6193,"0.94","us","us70005ttv","2019-10-14T06:11:06.226Z","67km ENE of Visokoi Island, South Georgia and the South Sandwich Islands","earthquake","10.7","3.5",47,154,"reviewed","us","us"
"2019-10-13T05:14:59.420Z","19.3255","-67.4483",50,"3.13","md",14,305,"0.9415","0.46","pr","pr2019286002","2019-10-13T13:17:31.249Z","101km NNW of San Antonio, Puerto Rico","earthquake","3.75","12.52","0.48",14,"reviewed","pr","pr"
"2019-10-13T05:00:37.447Z","56.2387","-148.5468","11.6","3.1","ml",,,,"0.56","ak","ak019d52ohsc","2019-10-13T21:56:50.636Z","291km SE of Kodiak, Alaska","earthquake",,"9.8",,,"reviewed","ak","ak"
"2019-10-13T04:52:57.570Z","16.2726",-97918,"34.65","4.7","mb",,165,3268,"0.94","us","us70005ttg","2019-10-14T03:44:50.901Z","2km SE of Santa Maria Huazolotitlan, Mexico","earthquake","9.5","7.9",26,454,"reviewed","us","us"
"2019-10-13T03:38:23.464Z","-20.3388","-173.3537",10,"4.8","mb",,106,3463,"1.12","us","us70005tt7","2019-10-13T04:02:47.040Z","120km ESE of Pangai, Tonga","earthquake","12.5","1.9",116,23,"reviewed","us","us"
"2019-10-13T03:12:06.876Z","52.1786","-171.6176",35,"3.5","ml",,202,1235,"0.7","us","us70005ty1","2019-10-14T23:29:21.088Z","42km SW of Amukta Island, Alaska","earthquake","4.1",2,115,10,"reviewed","us","us"
